SUM_Measure_1,SUM_Measure_2,SUM_Measure_3,SUM_Measure_4,SUM_Measure_5,SUM_Measure_6,SUM_Measure_7,SUM_Measure_8,SUM_Measure_9,SUM_Measure_10,CNT_Measure_1,CNT_Measure_2,CNT_Measure_3,CNT_Measure_4,CNT_Measure_5,AVG_Measure_1,AVG_Measure_2,AVG_Measure_3,AVG_Measure_4,AVG_Measure_5,Key_Dim_1,Key_Dim_2,Key_Dim_3,Key_Dim_4,Key_Dim_5,Key_Dim_6,Key_Dim_7,Key_Dim_8,Key_Dim_9,Key_Dim_10,Other_Field_1,Other_Field_2,Other_Field_3,Other_Field_4,Other_Field_5,Other_Field_6,Other_Field_7,Other_Field_8,Other_Field_9,Other_Field_10,DateKey
277503.96,173883.98,103619.98,71442.73,,,,,,,1,115,,,,0.3734,45.2,,,,Wholesale,SA,Payable,Cheque,,,,,,,Frontier Co,INV-00001,Under review,,,,,,,,2023-05-21
295703.9,271899.74,23804.16,56126.97,,,,,,,2,163,,,,0.0805,46.2,,,,Retail,VIC,Receivable,Cheque,,,,,,,Catalyst Ventures,INV-00002,Credit note issued,,,,,,,,2024-05-24
278010.34,226161.41,51848.93,42235.18,,,,,,,3,148,,,,0.1865,103.9,,,,Retail,SA,Payable,Credit Card,,,,,,,Harbour Bridge Co,INV-00003,,,,,,,,,2024-01-28
58487.35,48643.93,9843.42,9272.8,,,,,,,4,197,,,,0.1683,91.2,,,,Corporate,QLD,Payable,Direct Debit,,,,,,,Delta Force Services,INV-00004,Paid on time,,,,,,,,2023-02-07
211146.37,163300.6,47845.77,22268.19,,,,,,,5,126,,,,0.2266,16.7,,,,Government,NSW,Payable,Direct Debit,,,,,,,Southern Cross Ltd,INV-00005,,,,,,,,,2024-05-07
289201.39,200561.16,88640.23,42216.47,,,,,,,6,185,,,,0.3065,89.5,,,,Wholesale,NSW,Payable,Cheque,,,,,,,North Star Group,INV-00006,Paid on time,,,,,,,,2024-06-26
57175.59,50068.66,7106.93,10775.32,,,,,,,7,109,,,,0.1243,102.5,,,,Corporate,WA,Accrual,Credit Card,,,,,,,Summit Consulting,INV-00007,Under review,,,,,,,,2023-06-15
303180.12,247728.48,55451.64,77042.79,,,,,,,8,150,,,,0.1829,85.4,,,,Government,VIC,Payable,Credit Card,,,,,,,Titan Resources,INV-00008,Credit note issued,,,,,,,,2023-11-04
498664.26,384220.81,114443.45,92613.0,,,,,,,9,117,,,,0.2295,11.1,,,,Government,VIC,Receivable,Direct Debit,,,,,,,Pacific Innovations,INV-00009,,,,,,,,,2023-07-31
474385.61,411150.01,63235.6,99477.7,,,,,,,10,151,,,,0.1333,62.3,,,,Wholesale,QLD,Accrual,Credit Card,,,,,,,Apex Industries,INV-00010,Credit note issued,,,,,,,,2024-03-17
374916.0,230798.29,144117.71,83035.01,,,,,,,11,152,,,,0.3844,108.6,,,,Retail,QLD,Accrual,Direct Debit,,,,,,,Eclipse Group,INV-00011,,,,,,,,,2023-08-28
129364.21,86984.49,42379.72,33121.69,,,,,,,12,199,,,,0.3276,35.9,,,,Retail,QLD,Receivable,Credit Card,,,,,,,Omega Technologies,INV-00012,Paid on time,,,,,,,,2024-08-14
238154.02,218268.16,19885.86,66912.01,,,,,,,13,176,,,,0.0835,103.9,,,,Government,QLD,Receivable,Cheque,,,,,,,Apex Industries,INV-00013,,,,,,,,,2024-11-02
382039.99,300054.21,81985.78,42618.32,,,,,,,14,160,,,,0.2146,65.0,,,,Government,WA,Accrual,Cheque,,,,,,,Greenfield Enterprises,INV-00014,Disputed,,,,,,,,2023-06-12
246350.39,226445.28,19905.11,59344.02,,,,,,,15,103,,,,0.0808,36.5,,,,Corporate,VIC,Receivable,Direct Debit,,,,,,,Apex Industries,INV-00015,Overdue 30 days,,,,,,,,2023-05-14
254948.75,221168.04,33780.71,28535.72,,,,,,,16,122,,,,0.1325,29.3,,,,Wholesale,WA,Receivable,EFT,,,,,,,Catalyst Ventures,INV-00016,Under review,,,,,,,,2024-04-20
423559.53,292044.3,131515.23,83872.9,,,,,,,17,177,,,,0.3105,23.3,,,,Government,NSW,Payable,Credit Card,,,,,,,Global Tech,INV-00017,Disputed,,,,,,,,2023-06-11
327554.64,239999.28,87555.36,40225.02,,,,,,,18,134,,,,0.2673,102.1,,,,Government,SA,Accrual,Credit Card,,,,,,,Global Tech,INV-00018,Disputed,,,,,,,,2023-06-29
472998.63,291272.56,181726.07,137676.08,,,,,,,19,101,,,,0.3842,32.8,,,,Wholesale,VIC,Receivable,Credit Card,,,,,,,Frontier Co,INV-00019,Overdue 30 days,,,,,,,,2024-08-05
